Имя;IP;ОС;Назначение;Ответственный;Агент;KESL;ДатаУстановки;Примечание
# Перечень узлов вне домена. Ведётся вручную: такие узлы не обнаруживаются
# опросом Active Directory и контролируются только по этому перечню.
# Разделитель — точка с запятой. Строки, начинающиеся с '#', игнорируются.
#
# Агент/KESL: да | нет | не применимо
# Каждый узел со значением 'нет' требует обоснования в столбце «Примечание».
#
# Пример заполнения:
# WS-STAND-01;10.20.30.101;Windows 10 22H2;АРМ оператора;Иванов И.И.;да;да;01.09.2026;
# SRV-LINUX-02;10.20.30.102;Debian 12;Сервер приложений;Петров П.П.;да;да;01.09.2026;
# APPLIANCE-01;10.20.30.103;встроенная ОС;Сетевое оборудование;Сидоров С.С.;не применимо;не применимо;;Установка ПО запрещена вендором
